744.1.1={holder=1019916170} #Tihkoosue[1009990129]
778.07.24={holder=1019916171} #Askook[1009990129]
786.04.04={holder=1019916178} #Mukki[1009990129]
831.01.22={holder=1019916180} #Huritt[1009990129]
869.05.31={holder=1019916184} #Aranck[1009990129]
891.06.21={holder=1019916188} #Matchitehew[1009990129]
917.05.14={holder=1019916192} #Melkedoodum[1009990129]
926.05.27={holder=1019916197} #Askook[1009990129]
937.02.08={holder=1019916204} #Nosh[1009990129]
974.06.07={holder=1019916207} #Chogan[1009990129]
995.12.01={holder=1019916210} #Sunukkuhkau[1009990129]
1028.03.23={holder=1019916213} #Matwau[1009990129]
