744.1.1={holder=1019922502} #Kaigouchi[1009990193]
772.11.13={holder=1019922503} #Pirijá[1009990193]
818.06.23={holder=1019922507} #Shoko[1009990193]
832.12.30={holder=1019922511} #Pirijá[1009990193]
877.07.14={holder=1019922518} #Toruí[1009990193]
915.04.19={holder=1019922523} #Toruí[1009990193]
935.11.07={holder=1019922526} #Arata[1009990193]
965.12.04={holder=1019922530} #Áhari[1009990193]
969.02.03={holder=1019922535} #Ebedimu[1009990193]
1020.08.20={holder=1019922540} #Pirijá[1009990193]
1036.12.03={holder=1019922543} #Toratora[1009990193]
